uid;tur;serino;marka;model;dem_no
1;BİLGİSAYAR;22190910001349.;TECHO PC;BT58101;B001
2;BİLGİSAYAR;CZC6358S78;HP;800 G2;B002
3;BİLGİSAYAR;CZC647B7ZZ;HP;800 G2;B003
4;BİLGİSAYAR;PC05P99W;LENOVO;M93P;B004
5;BİLGİSAYAR;PC05P9XH;LENOVO;M93P;B005
6;BİLGİSAYAR;CV324AX;DELL;D15S;B006
